sayso_subcategory_slug,fsq_category_id,fsq_category_name,count
comedy-clubs,4bf58dd8d48988d142941735,Asian Restaurant,1
comedy-clubs,4bf58dd8d48988d121941735,Lounge,1
comedy-clubs,4bf58dd8d48988d1f2931735,Performing Arts Venue,1
comedy-clubs,4bf58dd8d48988d11f941735,Night Club,1
comedy-clubs,4bf58dd8d48988d116941735,Bar,2
comedy-clubs,4bf58dd8d48988d1e6941735,Golf Course,1
comedy-clubs,4bf58dd8d48988d18e941735,Comedy Club,16
comedy-clubs,4bf58dd8d48988d155941735,Gastropub,1
concerts,4bf58dd8d48988d11f941735,Night Club,1
concerts,4bf58dd8d48988d1e0931735,Coffee Shop,2
concerts,4bf58dd8d48988d111941735,Japanese Restaurant,1
concerts,4bf58dd8d48988d1e9931735,Rock Club,1
concerts,50327c8591d4c4b30a586d5d,Brewery,2
concerts,50be8ee891d4fa8dcc7199a7,Market,2
concerts,4bf58dd8d48988d121941735,Lounge,2
concerts,4bf58dd8d48988d1e5931735,Music Venue,1
concerts,4bf58dd8d48988d1e7931735,Jazz and Blues Venue,1
concerts,4bf58dd8d48988d1d5941735,Hotel Bar,2
concerts,4bf58dd8d48988d11b941735,Pub,2
concerts,4bf58dd8d48988d157941735,New American Restaurant,1
concerts,4def73e84765ae376e57713a,Portuguese Restaurant,2
concerts,4bf58dd8d48988d1ca941735,Pizzeria,2
concerts,4bf58dd8d48988d1c8941735,African Restaurant,4
concerts,4bf58dd8d48988d1fa931735,Hotel,1
concerts,4bf58dd8d48988d155941735,Gastropub,4
concerts,4bf58dd8d48988d1e8931735,Piano Bar,1
concerts,4bf58dd8d48988d11e941735,Cocktail Bar,2
concerts,4bf58dd8d48988d1ce941735,Seafood Restaurant,2
concerts,4bf58dd8d48988d16d941735,Café,5
concerts,4bf58dd8d48988d116941735,Bar,1
concerts,4bf58dd8d48988d16e941735,Fast Food Restaurant,1
concerts,4bf58dd8d48988d1ff931735,Convention Center,2
concerts,4d4b7105d754a06374d81259,Restaurant,2
concerts,4bf58dd8d48988d1f7941735,Flea Market,2
concerts,4bf58dd8d48988d184941735,Stadium,2
concerts,5032792091d4c4b30a586d5c,Concert Hall,7
concerts,5744ccdfe4b0c0459246b4dc,Shopping Plaza,2
concerts,4bf58dd8d48988d163941735,Park,2
concerts,4bf58dd8d48988d129941735,City Hall,2
concerts,4bf58dd8d48988d137941735,Theater,3
cycling,4f2a25ac4b909258e854f55f,Neighborhood,1
cycling,4bf58dd8d48988d16d941735,Café,1
cycling,4bf58dd8d48988d175941735,Gym and Studio,1
cycling,4bf58dd8d48988d163941735,Park,1
cycling,4bf58dd8d48988d116941735,Bar,1
cycling,56aa371be4b08b9a8d57355e,Bike Trail,1
cycling,4e4c9077bd41f78e849722f9,Bike Rental,8
cycling,4bf58dd8d48988d115951735,Bicycle Store,3
education-learning,4d4b7105d754a06375d81259,Business and Professional Services,1
education-learning,4bf58dd8d48988d1dc931735,Tea Room,1
education-learning,4bf58dd8d48988d126941735,Government Building,1
education-learning,4bf58dd8d48988d114951735,Bookstore,1
education-learning,4bf58dd8d48988d1fa931735,Hotel,2
education-learning,4bf58dd8d48988d12f941735,Library,9
education-learning,4bf58dd8d48988d199941735,College Arts Building,1
education-learning,4bf58dd8d48988d197941735,College Administrative Building,1
education-learning,4bf58dd8d48988d1a7941735,College Library,9
education-learning,4d4b7105d754a06372d81259,College and University,3
education-learning,4bf58dd8d48988d1a0941735,College Classroom,2
education-learning,4bf58dd8d48988d1ab941735,Student Center,1
education-learning,4bf58dd8d48988d1ae941735,University,2
education-learning,56aa371ce4b08b9a8d573570,Adult Education,1
education-learning,4bf58dd8d48988d198941735,College Academic Building,3
education-learning,554a5e17498efabeda6cc559,Photography Studio,1
education-learning,52e81612bcbc57f1066b7a42,Driving School,2
education-learning,52e81612bcbc57f1066b7a46,Private School,1
education-learning,4bf58dd8d48988d13b941735,Education,2
education-learning,4f04b10d2fb6e1c99f3db0be,Music School,1
education-learning,4bf58dd8d48988d13d941735,High School,8
education-learning,58daa1558bbb0b01f18ec200,Culinary School,2
education-learning,4bf58dd8d48988d1b3941735,Medical School,4
education-learning,4f4533814b9074f6e4fb0107,Nursery School,4
education-learning,4f4533804b9074f6e4fb0105,Elementary School,5
education-learning,52e81612bcbc57f1066b7a48,Language School,4
education-learning,4bf58dd8d48988d1ad941735,Trade School,1
electricians,545419b1498ea6ccd0202f58,Home Service,1
electronics,4bf58dd8d48988d10b951735,Video Games Store,2
electronics,4eb1bdf03b7b55596b4a7491,Camera Store,3
electronics,4f04afc02fb6e1c99f3db0bc,Mobile Phone Store,31
electronics,4eb1bdde3b7b55596b4a7490,Photography Lab,1
electronics,4bf58dd8d48988d122951735,Electronics Store,26
events-festivals,4bf58dd8d48988d1d8941735,Gay Bar,1
events-festivals,52e81612bcbc57f1066b7a06,Irish Pub,1
events-festivals,4bf58dd8d48988d1d2941735,Sushi Restaurant,1
events-festivals,5267e4d9e4b0ec79466e48c8,Other Event,1
events-festivals,4bf58dd8d48988d123941735,Wine Bar,1
events-festivals,4bf58dd8d48988d10c941735,French Restaurant,1
events-festivals,4bf58dd8d48988d1db931735,Tapas Restaurant,1
events-festivals,4bf58dd8d48988d1c0941735,Mediterranean Restaurant,1
events-festivals,4bf58dd8d48988d1ee931735,Hostel,1
events-festivals,4bf58dd8d48988d184941735,Stadium,1
events-festivals,4bf58dd8d48988d111941735,Japanese Restaurant,1
events-festivals,4bf58dd8d48988d190941735,History Museum,1
events-festivals,4bf58dd8d48988d107941735,Argentinian Restaurant,1
events-festivals,4bf58dd8d48988d1fd941735,Shopping Mall,1
events-festivals,4bf58dd8d48988d116941735,Bar,1
events-festivals,4bf58dd8d48988d1d5941735,Hotel Bar,1
events-festivals,4bf58dd8d48988d119941735,Hookah Bar,1
events-festivals,4bf58dd8d48988d122941735,Whisky Bar,1
events-festivals,4bf58dd8d48988d1ca941735,Pizzeria,1
events-festivals,4bf58dd8d48988d11b941735,Pub,1
events-festivals,4bf58dd8d48988d10e941735,Greek Restaurant,1
events-festivals,4bf58dd8d48988d155941735,Gastropub,2
events-festivals,4d4b7105d754a06374d81259,Restaurant,4
events-festivals,4bf58dd8d48988d1cc941735,Steakhouse,2
events-festivals,4bf58dd8d48988d1ce941735,Seafood Restaurant,2
events-festivals,4bf58dd8d48988d110941735,Italian Restaurant,2
events-festivals,4bf58dd8d48988d1c8941735,African Restaurant,3
events-festivals,4bf58dd8d48988d10f941735,Indian Restaurant,2
events-festivals,4bf58dd8d48988d10a941735,Ethiopian Restaurant,1
events-festivals,4bf58dd8d48988d11e941735,Cocktail Bar,2
events-festivals,4bf58dd8d48988d114951735,Bookstore,1
events-festivals,4bf58dd8d48988d171941735,Event Space,6
events-festivals,5032792091d4c4b30a586d5c,Concert Hall,1
events-festivals,5267e4d9e4b0ec79466e48d1,Music Festival,1
events-festivals,4def73e84765ae376e57713a,Portuguese Restaurant,3
events-festivals,5744ccdfe4b0c0459246b4dc,Shopping Plaza,1
events-festivals,4bf58dd8d48988d1fa931735,Hotel,1
