fsq_category_id,fsq_category_name,sayso_subcategory_slug,sayso_category_slug,count
4bf58dd8d48988d12a951735,Train,miscellaneous,,3
4bf58dd8d48988d16a941735,Bakery,restaurants,,2
52e81612bcbc57f1066b79f1,Bistro,restaurants,,2
4bf58dd8d48988d1d8941735,Gay Bar,restaurants,,2
52e81612bcbc57f1066b7a02,Belgian Restaurant,restaurants,,2
4bf58dd8d48988d1c0941735,Mediterranean Restaurant,restaurants,,2
4bf58dd8d48988d1ee931735,Hostel,books,,2
4bf58dd8d48988d119941735,Hookah Bar,nightlife,,2
4bf58dd8d48988d121941735,Lounge,bars,,2
52e81612bcbc57f1066b7a06,Irish Pub,bars,,2
4bf58dd8d48988d117941735,Beer Garden,bars,,2
4bf58dd8d48988d129941735,City Hall,concerts,,2
4bf58dd8d48988d101941735,Martial Arts Dojo,sports-recreation,,2
52e81612bcbc57f1066b7a2e,Sports Club,sports-recreation,,2
4bf58dd8d48988d132951735,Hotel Pool,spas,,2
54541900498ea6ccd0202697,Health and Beauty Service,salons,,2
4d1cf8421a97d635ce361c31,Tanning Salon,salons,,2
50be8ee891d4fa8dcc7199a7,Market,concerts,,2
52e81612bcbc57f1066b7a21,National Park,hiking,,2
4bf58dd8d48988d165941735,Scenic Lookout,hiking,,2
58daa1558bbb0b01f18ec200,Culinary School,education-learning,,2
4bf58dd8d48988d13b941735,Education,education-learning,,2
52e81612bcbc57f1066b7a42,Driving School,education-learning,,2
4bf58dd8d48988d1a0941735,College Classroom,education-learning,,2
4bf58dd8d48988d130941735,Structure,finance-insurance,,2
52f2ab2ebcbc57f1066b8b56,ATM,finance-insurance,,2
5bae9231bedf3950379f89cd,Hill,hiking,,2
63be6904847c3692a84b9bf9,Surf Store,water-sports,,2
5744ccdfe4b0c0459246b4dc,Shopping Plaza,concerts,,2
4bf58dd8d48988d1fd941735,Shopping Mall,pet-services,,2
4bf58dd8d48988d184941735,Stadium,sports-recreation,,2
4bf58dd8d48988d1e6941735,Golf Course,sports-recreation,,2
4bf58dd8d48988d1e9931735,Rock Club,nightlife,,2
52e81612bcbc57f1066b7a35,Club House,nightlife,,2
4bf58dd8d48988d1e0941735,Harbor or Marina,comedy-clubs,,2
4bf58dd8d48988d17e941735,Indie Movie Theater,cinemas,,2
56aa371be4b08b9a8d573523,Film Studio,cinemas,,2
4bf58dd8d48988d191941735,Science Museum,museums,,2
50aaa49e4b90af0d42d5de11,Castle,galleries,,2
4bf58dd8d48988d1ac941735,College Theater,theaters,,2
4bf58dd8d48988d136941735,Opera House,theaters,,2
4bf58dd8d48988d1f7941735,Flea Market,concerts,,2
4bf58dd8d48988d1ff931735,Convention Center,concerts,,2
4bf58dd8d48988d1e7941735,Playground,family-activities,,2
4bf58dd8d48988d10b951735,Video Games Store,electronics,,2
52f2ab2ebcbc57f1066b8b30,Used Bookstore,books,,2
4bf58dd8d48988d179941735,Bagel Shop,restaurants,,1
4bf58dd8d48988d1df931735,BBQ Joint,restaurants,,1
4bf58dd8d48988d120951735,Food Court,restaurants,,1
4bf58dd8d48988d1d3941735,Vegan and Vegetarian Restaurant,restaurants,,1
4bf58dd8d48988d1f5931735,Dim Sum Restaurant,restaurants,,1
4bf58dd8d48988d143941735,Breakfast Spot,restaurants,,1
4bf58dd8d48988d142941735,Asian Restaurant,restaurants,,1
